lon,id,lat,operationStatus,stationNameKana,stationNameEng,stationType,postalCode,closingDate,url,fillablePressure,addressKana,stationName,tel,addressJp,openingHours,payment,information,updateDateTime
130.2595972,0000300026,33.5811503,0,ドクタードライブセルフイトテンスイソステーション,ENEOS Dr.Drive Self Ito Station,固定式（オンサイト）,819-0367,営業日：水～日 定休日：月・火・祝日,https://www.eneos.co.jp,82MPa,フクオカケンフクオカシニシクサイトイッチョウメ,ENEOS Dr.Driveセルフ伊都店,092-836-8981,福岡県福岡市西区西都１－１８－１５,13:00-16:30,現金／クレジットカード,※6/1（水）より、定休日を変更いたします。（月・火・祝日→火・水・祝日）,2022-05-19T15:00:10Z
130.4844866,0000300039,33.7411957,0,ドクタードライブセルフコガテンスイソステーション,ENEOS Dr.Drive Self Koga Station,固定式（オンサイト）,811-3115,営業日：月、水、金～日、祝日（火、木除く） 定休日：火、木,https://www.eneos.co.jp,82MPa,フクオカケンコガシクボ,ENEOS Dr.Driveセルフ古賀店,092-710-8770,福岡県古賀市久保１２６９－１１,09:30-17:00,現金／クレジットカード,,2022-05-19T15:00:13Z
130.407043,0000800001,33.6168456,0,サイブガスヒガシハマスイソステーション,saibugasuhigasihamasuisosuteshon,固定式（オンサイト）,812-0055,営業日：月・火・木・金・土曜日 定休日：水・日曜日・祝日・年末年始,,82MPa,フクオカケンフクオカシヒガシクヒガシハマ,西部ガス東浜水素ステーション,092-645-2760,福岡県福岡市東区東浜２－９－１１８,９：３０～１７：００,掛売・クレジットカード,7/3（土）9：30～営業を再開いたします。,2022-05-19T08:00:02Z
130.4182303,0000200006,33.6057198,0,イワタニスイソステーションフクオカケンチョウ,Iwatani Hydrogen Refueling Station in Fukuoka prefecture,移動式,812-8577,営業日：月～金　 定休日：土・日・祝日・年末年始,http://www.iwatani.co.jp/jpn/,82MPa,フクオカケンフクオカシハカタクヒガシコウエン,イワタニ水素ステーション 福岡県庁,070-2285-1149,福岡県福岡市博多区東公園７番７号,月：10:30～12:00、13:00～16:00、火～金 ： 8：30～12:00、13:00～16:00（月曜日が祝日の場合は、火曜日の営業時間が10:30～12:00、13:00～16:00となります）,クレジットカード,"※ お支払いはクレジットカードでお願いします。
※ 営業はカレンダーの通り、土日祭が休業です。
※ 月曜日は１０：３０から営業です。
",2022-05-19T07:00:03Z
130.6418393,0001100002,33.7525294,0,フクオカミヤタ,Fukuoka Miyata Hydrogen Fueling Station,固定式（オフサイト）,823-0016,営業日：金～水（週6日営業） 定休日：木、 および年末年始等特に定める日,[未設定],82,フクオカケンミヤワカシシロウマルアザハッチョウゲ,福岡宮田水素ステーション,0949-28-7102,福岡県宮若市四郎丸字八町下851-9,09:30-17:00,"クレジットカードのみ（JCB,VISA,Master,AMEX,TS CUBIC,Diners他）","                                                      





",2022-05-18T08:00:03Z
130.4555337,0000300035,33.6047215,0,ドクタードライブセルフフクオカクウコウテン,ENEOS Dr.Drive Self Fukuokakuukou Station,固定式（オフサイト）,811-2233,営業日：月～土 定休日：日祝日,https://www.eneos.co.jp,82MPa,フクオカケンカスヤグンシメチョウベップキタ,ENEOS Dr.Driveセルフ福岡空港店,092-260-9050,福岡県粕屋郡志免町別府北二丁目５－１５,9:30～17:00,現金、各種クレジット,※6/21（火）～7/4（月）の間、法定点検のため休業させていただきます。,2022-05-19T15:00:08Z
130.8035749,0000300042,33.8707117,0,ヤハタヒガシダスイソステーション,ENEOS ENEOS Yahatahigasida Hydrogen Station,固定式（オフサイト）,805-0071,営業日：月～火、金～日、祝日（水木を除く） 定休日：水木,https://www.eneos.co.jp,82MPa,フクオカケンキタキュウシュウシヤハタヒガシクヒガシダ,ENEOS 八幡東田水素ステーション,093-616-9577,福岡県北九州市八幡東区東田１－１－９,08:30-19:30,クレジットカード,※6/2（木）～6/14（火）の間、法定点検のため休業させていただきます。,2022-05-19T15:00:11Z
130.895506,0000200002,33.888045,0,イワタニスイソステーションコクラ,Iwatani Hydrogen Refueling Station in Kokura,固定式（オフサイト）,802-0021,営業日：月～水、金～日 定休日：木曜日、年末年始,http://www.iwatani.co.jp/jpn/,70MPa,フクオカケンキタキュウシュウシコクラキタタカハマ,イワタニ水素ステーション小倉,093-953-7507,福岡県北九州市小倉北区高浜1-4-30,月～水、金～日 ： 9：00～17:00,クレジットカード,"【営業時間変更のお知らせ】
※4月1日より、営業日　12～13時を閉店させて頂きます。
",2022-05-18T08:00:05Z
130.4864229,0000300038,33.5382357,0,ドクタードライブセルフダザイフインターテン,Dr.Drive Self Dazaifuinter Station,固定式（オンサイト）,816-0912,営業日：月～土 定休日：日祝日,https://www.eneos.co.jp,82MPa,フクオカケンオオノジョウシミカサガワ,ENEOS Dr.Drive セルフ太宰府インター店,092-586-5192,福岡県大野城市御笠川5-12-20,13:00～16:30,現金、各種クレジット,※5/6（金）より法定点検のため休業いたしております。営業再開時期につきましては判り次第、ご案内いたします。（当初営業再開予定の5/20（金）を延期させていただきます）,2022-05-19T15:00:11Z
141.4118235,0002800001,43.0207981,2,エアウォーターイドウシキスイソステーションサッポロ,air water mobile hydrogen station sapporo,移動式,062-0052,営業日：平日、土曜日 定休日：日曜日、祝日、指定日,https://awi-h2station.resv.jp/,70MPa,サッポロシトヨヒラクツキサムヒガシニジョウジュウロクチョウメ,エア・ウォーター移動式水素ステーション札幌,070-2308-9441,札幌市豊平区月寒東2条16丁目1-6,平日９：３０～１７：３０、土曜日９：３０～１２：４０,振込、クレジットカード（個人の方はクレジットカードのみ）,営業日は、充填予約サイトをご覧ください。,2022-04-07T09:26:22Z
130.2930796,0001100001,33.2617113,0,サガスイソステーション,Saga Station,固定式（オフサイト）,840-0805,営業日：金～水（週6日営業） 定休日：木、 および年末年始等特に定める日,,82,サガシコウノニシ,佐賀水素ステーション,0952-37-5946,佐賀市神野西1-822-14 （神野東一丁目交差点そば）,金～水：10:00～18:00　,"クレジットカード（JCB,VISA,Master,AMEX,TS CUBIC,Diners他）",,2022-05-18T09:00:03Z
130.5585043,0002400001,33.3418586,0,スイソステーションクルメ,suiso station kurume,固定式（オフサイト）,839-0804,営業日：月～金、日曜日 / 定休日：土曜日、祝日,https://www.fksanso.co.jp/hydrogenstation.html,82,フクオカケンクルメシミヤノジンマチワカマツ,水素ステーション久留米,0942-55-8996,福岡県久留米市宮ノ陣町若松1-7,月～金_9：30～16：30　日曜日_9：30~15:00,クレジットカードのみ,,2022-05-19T07:30:02Z
140.9837806,0002800002,42.3609102,2,ムロランシイドウシキスイソステーションクジランステーション,muroranshi mobile hydrogen station,移動式,050-0063,営業日：平日、土曜日（指定休日あり） 定休日：日曜日、祝日,https://awi-h2station.resv.jp/,70MPa,ムロランシコウホクチョウイッチョウメニバンチニジュウゴウ,室蘭市移動式水素ステーション「くじらんステーション」,090-7515-4571,室蘭市港北町1丁目2番20号,平日：9：００～１６：００　土曜日：9：００～１２：００,クレジット、振込（平日のみ現金可）,営業日は、充填予約サイトをご覧ください。,2022-04-07T09:25:37Z
131.8233135,0000200005,34.0219495,0,イワタニスイソステーションヤマグチシュウナン,Iwatani Hydrogen Refueling Station in Yamaguchisyuunan,固定式（オフサイト）,745-0814,営業日：月～水、金～日 定休日：木曜日、年末年始,http://www.iwatani.co.jp/jpn/,82MPa,ヤマグチケンシュウナンシコカイ,イワタニ水素ステーション山口周南,0834-33-8523,山口県周南市鼓海1丁目324-18,月～水、金～日 ： 9:00～12:00・13:00～17:00,クレジットカード,"【営業時間変更のお知らせ】
12時～13時を閉店させて頂きます。
",2022-05-18T08:00:06Z
132.376189,0000200045,34.3684797,0,イワタニスイソステーションヒロシマニシ,Iwatani Hydrogen Refueling Station in Hirosimanisi,固定式（オフサイト）,733-0842,営業日：月～水、金～日 定休日：木、年末年始,http://www.iwatanigas.co.jp/,82,ヒロシマケンヒロシマシニシクイノクチ,イワタニ水素ステーション 広島西,070-7813-0541,広島県広島市西区井口3-8-17,9：00～12：00、13：00～17：00,クレジットカード,"※ お支払いはクレジットカードでお願いします。
≪法定設備点検休業のご案内≫
2022年6月6日(月)～2022年6月12日(日)13：00 (予定)
※6月13日(月)から通常通り営業再開させていただきます。

",2022-05-18T08:00:06Z
132.6573413,0001700001,34.4662454,0,ヒガシヒロシマスイソステーション,HigashiHiroshima Hydrogen Station,移動式,739-0263,営業日：火～土 定休日：日・月曜日、祝日　広島トヨペットのカレンダーに一部準ずる,http://www.h-toyopet.com/shop/higashihiroshimasuiso/,82MPa,ヒロシマケンヒガシヒロシマシシワリュウツウ,東広島水素ステーション,082-433-6656,広島県東広島市志和流通1-70,１１：００～１８：００,クレジットカード,ご来店前にお電話ください。カレンダーは広島トヨペットＨＰに掲載しています。,2022-05-19T09:00:02Z
130.7394848,0000200046,32.7153277,0,イワタニスイソステーションクマモトミナミ,Iwatani Hydrogen Refueling Station in Kumamotominami,固定式（オフサイト）,861-4211,営業日：月～水、金～日 定休日：木、年末年始,http://www.iwatanigas.co.jp/,82,クマモトケンクマモトシジョウナンマチイマヨシノ,イワタニ水素ステーション 熊本南,070-7813-0542,熊本県熊本市南区城南町今吉野1246-1,9：00～12：00、13：00～17：00,クレジットカード,"営業時間: 9:00～17:00 ※12時～13時を休店させて頂きます。
定休日: 木曜日",2022-05-18T08:00:05Z
131.6741,0002900001,33.2400081,0,オオイタイービーエルスイソステーション,Oita EBL Hydrogen Station,移動式,870-0145,営業日：平日、土祝日 定休日：日曜日,http://www.suisostation.jp/,82,オオイタシオトヅマチイチバンジュウハチゴウ,大分ＥＢＬ水素ステーション,097-558-8855,大分市乙津町１番１８号,平日（10：00～16：00）、土祝日（10：00～12：00,クレジットカード,前日までに電話で予約ください。,2022-05-19T07:00:02Z
143.0101497,0003400001,43.1050002,1,シカオイスイソファームステーション,Shikaoi Hydrogen Farm Station,固定式（オフサイト）,081-0216,営業日：月・火・木・金・土曜日 定休日：水・日曜日,https://shikaoi-h2station.resv.jp/,70,ホッカイドウカトウグンシカオイチョウシカオイキタヨンセンゴバンチ,しかおい水素ファームステーション,070-2813-8240,北海道河東郡鹿追町鹿追北4線5番地,10時～17時,クレジットカード,,2022-04-20T00:41:32Z
133.9027793,0000200017,34.6058027,0,イワタニスイソステーションオカヤマミナミ,Iwatani Hydrogen Refueling Station in Okayamaminami,固定式（オフサイト）,701-0221,営業日：月～水、金～日 定休日：木曜日、年末年始,http://www.iwatanigas.co.jp/gas/station.html,82,オカヤマケンオカヤマシミナミクフジタ,イワタニ水素ステーション 岡山南,086-230-7773,岡山県岡山市南区藤田2094番地2,月～水、金～日 ： 9:00～12:00・13:00～17:00,クレジットカードのみ,"※ お支払いはクレジットカードでお願いします。
≪営業時間変更のお知らせ≫
12時～13時を閉店させて頂きます。
定休日：木曜日
",2022-05-18T08:00:08Z
